id,rate,indicatorId,dimension,timeFrame,missingVal,confLow,confHigh,standError,locale,localeLevel,stateCode
48433,0.6770,90855496,total-age-adj,2005-2011,,0.60900,0.73700,3.3,Stonewall,County,48
48247,0.5310,90855403,total-age-adj,2005-2011,,0.53100,0.53100,0,Jim Hogg,County,48
55015,0.3610,435608,total,2005-2011,,0.28500,0.44600,4.2,Calumet,County,55
31027,0.3610,439123,total-age-adj,2010,,0.28700,0.44200,4,Cedar,County,31
55015,0.3500,90855812,total-age-adj,2005-2011,,0.27800,0.43000,3.9,Calumet,County,55
2013,0.3500,90852827,total-age-adj,2005-2011,,0.26000,0.45100,4.9,Aleutians East,County,2
55015,0.3410,454642,total,2006-2010,,0.25400,0.44100,4.8,Calumet,County,55
55061,0.3380,454689,total-age-adj,2006-2010,,0.24600,0.44300,5.1,Kewaunee,County,55
46017,0.3350,434922,total,2005-2011,,0.25300,0.42900,4.5,Buffalo,County,46
38071,0.3330,446205,total-age-adj,2008-2010,,0.24900,0.42800,4.6,Ramsey,County,38
31125,0.3320,90854473,total-age-adj,2005-2011,,0.24100,0.43700,5.1,Nance,County,31
55015,0.3300,454643,total-age-adj,2006-2010,,0.24700,0.42400,4.5,Calumet,County,55
19043,0.3270,90853567,total-age-adj,2005-2011,,0.24100,0.42600,4.8,Clayton,County,19
38053,0.3200,452565,total-age-adj,2006-2010,,0.24200,0.40900,4.3,McKenzie,County,38
38053,0.3190,452564,total,2006-2010,,0.23500,0.41700,4.7,McKenzie,County,38
31027,0.3170,445489,total-age-adj,2008-2010,,0.27100,0.36700,2.4,Cedar,County,31
46007,0.3140,453261,total-age-adj,2006-2010,,0.24500,0.39200,3.8,Bennett,County,46
38053,0.3130,446187,total-age-adj,2008-2010,,0.22300,0.42000,5.1,McKenzie,County,38
2232,0.3120,90852847,total-age-adj,2005-2011,,0.22700,0.41200,4.8,Skagway-Hoonah-Angoon,County,2
8081,0.3100,449104,total,2006-2010,,0.23900,0.39100,3.9,Moffat,County,8
30041,0.3070,439025,total-age-adj,2010,,0.24700,0.37500,3.3,Hill,County,30
30041,0.3060,439024,total,2010,,0.24500,0.37500,3.3,Hill,County,30
19043,0.3040,433363,total,2005-2011,,0.22200,0.40200,4.6,Clayton,County,19
55119,0.3030,448367,total-age-adj,2008-2010,,0.21700,0.40700,4.9,Taylor,County,55
55087,0.3030,454717,total-age-adj,2006-2010,,0.25400,0.35800,2.7,Outagamie,County,55
55119,0.3020,454749,total-age-adj,2006-2010,,0.23000,0.38600,4,Taylor,County,55
38071,0.3020,452583,total-age-adj,2006-2010,,0.24000,0.37300,3.4,Ramsey,County,38
38071,0.3020,90854782,total-age-adj,2005-2011,,0.25000,0.35900,2.8,Ramsey,County,38
31027,0.3020,439122,total,2010,,0.22900,0.38600,4,Cedar,County,31
38053,0.3010,90854773,total-age-adj,2005-2011,,0.23200,0.38000,3.8,McKenzie,County,38
55117,0.3000,454747,total-age-adj,2006-2010,,0.24300,0.36300,3.1,Sheboygan,County,55
55109,0.3000,454738,total,2006-2010,,0.23000,0.38100,3.9,St. Croix,County,55
46007,0.3000,453260,total,2006-2010,,0.23000,0.38000,3.9,Bennett,County,46
30005,0.3000,438989,total-age-adj,2010,,0.21000,0.41000,5.2,Blaine,County,30
19149,0.3000,450259,total-age-adj,2006-2010,,0.22400,0.39000,4.3,Plymouth,County,19
38081,0.2990,90854787,total-age-adj,2005-2011,,0.23000,0.37900,3.8,Sargent,County,38
55119,0.2980,448366,total,2008-2010,,0.21100,0.40100,4.9,Taylor,County,55
55087,0.2980,90855849,total-age-adj,2005-2011,,0.25500,0.34500,2.3,Outagamie,County,55
46053,0.2980,90855144,total-age-adj,2005-2011,,0.21100,0.40300,4.9,Gregory,County,46
46017,0.2980,446893,total-age-adj,2008-2010,,0.21600,0.39500,4.6,Buffalo,County,46
38071,0.2980,446204,total,2008-2010,,0.21800,0.39400,4.5,Ramsey,County,38
38049,0.2980,452561,total-age-adj,2006-2010,,0.22300,0.38500,4.2,McHenry,County,38
55119,0.2970,90855865,total-age-adj,2005-2011,,0.23100,0.37200,3.6,Taylor,County,55
55027,0.2970,454655,total-age-adj,2006-2010,,0.22800,0.37700,3.8,Dodge,County,55
38053,0.2970,434569,total,2005-2011,,0.22400,0.38200,4.1,McKenzie,County,38
55087,0.2960,454716,total,2006-2010,,0.24700,0.35000,2.7,Outagamie,County,55
55021,0.2960,454649,total-age-adj,2006-2010,,0.21800,0.38800,4.4,Columbia,County,55
38049,0.2950,90854771,total-age-adj,2005-2011,,0.23000,0.36900,3.6,McHenry,County,38
31027,0.2950,451867,total-age-adj,2006-2010,,0.24500,0.35100,2.7,Cedar,County,31
6109,0.2950,449014,total,2006-2010,,0.20700,0.40200,5,Tuolumne,County,6
55051,0.2940,435626,total,2005-2011,,0.20500,0.40300,5.1,Iron,County,55
46007,0.2940,90855121,total-age-adj,2005-2011,,0.23900,0.35600,3,Bennett,County,46
31173,0.2940,445634,total,2008-2010,,0.22900,0.36900,3.6,Thurston,County,31
27119,0.2940,90854130,total-age-adj,2005-2011,,0.21900,0.38300,4.2,Polk,County,27
27019,0.2930,444800,total,2008-2010,,0.21700,0.38200,4.3,Carver,County,27
19065,0.2930,90853578,total-age-adj,2005-2011,,0.22500,0.37200,3.8,Fayette,County,19
55087,0.2920,448335,total-age-adj,2008-2010,,0.22300,0.37200,3.8,Outagamie,County,55
38031,0.2920,90854762,total-age-adj,2005-2011,,0.21000,0.38900,4.6,Foster,County,38
26033,0.2920,433800,total,2005-2011,,0.21400,0.38400,4.4,Chippewa,County,26
26033,0.2910,90854004,total-age-adj,2005-2011,,0.22000,0.37400,4,Chippewa,County,26
55109,0.2900,435656,total,2005-2011,,0.23000,0.35700,3.2,St. Croix,County,55
55087,0.2900,435645,total,2005-2011,,0.24800,0.33600,2.3,Outagamie,County,55
31173,0.2900,445635,total-age-adj,2008-2010,,0.23000,0.35900,3.3,Thurston,County,31
31125,0.2900,451964,total,2006-2010,,0.20500,0.39200,4.8,Nance,County,31
55117,0.2890,454746,total,2006-2010,,0.23500,0.35100,3,Sheboygan,County,55
55061,0.2890,454688,total,2006-2010,,0.20400,0.39200,4.9,Kewaunee,County,55
55021,0.2890,454648,total,2006-2010,,0.21000,0.38300,4.4,Columbia,County,55
55019,0.2890,454646,total,2006-2010,,0.20100,0.39600,5,Clark,County,55
