file,dimension,timeFrame,rate,missingValue,countyName,stateCode,id,stateAbb,state,population,deaths
socEmoSupport,Total,2005-2011,0.0000,Y,Kenedy,48,48261,TX,Texas,,
nonFirearmDeaths,,,0.940373363,,Corson,46,46031,SD,South Dakota,28712,27
nonFirearmDeaths,,,0.799666226,,Sioux,38,38085,ND,North Dakota,28762,23
firearmDeaths,,,0.736048967,,Wade Hampton,2,2270,AK,Alaska,51627,38
nonFirearmDeaths,,,0.629081541,,Todd,46,46121,SD,South Dakota,66764,42
socEmoSupport,Total,2005-2011,0.5740,,Wade Hampton,2,2270,AK,Alaska,,
nonFirearmDeaths,,,0.552151666,,Polk,48,48373,TX,Texas,318753,176
firearmDeaths,,,0.527544488,,Orleans,22,22071,LA,Louisiana,2460456,1298
noExercise,Total,2005-2011,0.491,,Poinsett,5,5111,AR,Arkansas,,
noExercise,Total,2005-2011,0.489,,Jackson,5,5067,AR,Arkansas,,
obesity,Total,2005-2011,0.486,,Michigan - Gratiot,26,26057,MI,Michigan,,
obesity,Total,2005-2011,0.484,,Arkansas - Poinsett,5,5111,AR,Arkansas,,
obesity,Total,2005-2011,0.481,,Mississippi - Franklin,28,28037,MS,Mississippi,,
smoking,Total,2005-2011,0.478,,Shannon,46,46113,SD,South Dakota,,
obesity,Total,2005-2011,0.478,,Ohio - Lawrence,39,39087,OH,Ohio,,
socEmoSupport,Total,2005-2011,0.4770,,Bethel,2,2050,AK,Alaska,,
smoking,Total,2005-2011,0.476,,Northwest Arctic,2,2188,AK,Alaska,,
obesity,Total,2005-2011,0.472,,Alabama - Hale,1,1065,AL,Alabama,,
obesity,Total,2005-2011,0.468,,South Carolina - Williamsburg,45,45089,SC,South Carolina,,
smoking,Total,2005-2011,0.462,,Buffalo,46,46017,SD,South Dakota,,
obesity,Total,2005-2011,0.457,,Florida - Hardee,12,12049,FL,Florida,,
noExercise,Total,2005-2011,0.456,,McDowell,54,54047,WV,West Virginia,,
obesity,Total,2005-2011,0.456,,Mississippi - Coahoma,28,28027,MS,Mississippi,,
obesity,Total,2005-2011,0.455,,Mississippi - Tallahatchie,28,28135,MS,Mississippi,,
socEmoSupport,Total,2005-2011,0.4540,,North Slope,2,2185,AK,Alaska,,
noExercise,Total,2005-2011,0.45,,Wyoming,54,54109,WV,West Virginia,,
obesity,Total,2005-2011,0.45,,Mississippi - Humphreys,28,28053,MS,Mississippi,,
obesity,Total,2005-2011,0.449,,Tennessee - Fayette,47,47047,TN,Tennessee,,
smoking,Total,2005-2011,0.448,,North Slope,2,2185,AK,Alaska,,
noExercise,Total,2005-2011,0.446,,Marion,1,1093,AL,Alabama,,
obesity,Total,2005-2011,0.445,,Kentucky - Johnson,21,21115,KY,Kentucky,,
obesity,Total,2005-2011,0.445,,North Carolina - Halifax,37,37083,NC,North Carolina,,
noExercise,Total,2005-2011,0.443,,Overton,47,47133,TN,Tennessee,,
obesity,Total,2005-2011,0.442,,Louisiana - Bienville,22,22013,LA,Louisiana,,
nonFirearmDeaths,,,0.440815701,,Northwest Arctic,2,2188,AK,Alaska,52176,23
smoking,Total,2005-2011,0.44,,Nome,2,2180,AK,Alaska,,
noExercise,Total,2005-2011,0.439,,St. Francis,5,5123,AR,Arkansas,,
noExercise,Total,2005-2011,0.439,,Magoffin,21,21153,KY,Kentucky,,
obesity,Total,2005-2011,0.438,,Kentucky - Breathitt,21,21025,KY,Kentucky,,
obesity,Total,2005-2011,0.438,,Mississippi - Holmes,28,28051,MS,Mississippi,,
obesity,Total,2005-2011,0.437,,Alabama - Barbour,1,1005,AL,Alabama,,
noExercise,Total,2005-2011,0.436,,Barbour,1,1005,AL,Alabama,,
obesity,Total,2005-2011,0.436,,Louisiana - Allen,22,22003,LA,Louisiana,,
obesity,Total,2005-2011,0.435,,West Virginia - Gilmer,54,54021,WV,West Virginia,,
noExercise,Total,2005-2011,0.434,,Hardeman,47,47069,TN,Tennessee,,
noExercise,Total,2005-2011,0.432,,Marshall,28,28093,MS,Mississippi,,
obesity,Total,2005-2011,0.432,,Kentucky - Letcher,21,21133,KY,Kentucky,,
nonFirearmDeaths,,,0.429408337,,Nome,2,2180,AK,Alaska,65206,28
smoking,Total,2005-2011,0.429,,Calhoun,54,54013,WV,West Virginia,,
noExercise,Total,2005-2011,0.429,,Campbell,47,47013,TN,Tennessee,,
obesity,Total,2005-2011,0.429,,Kentucky - McLean,21,21149,KY,Kentucky,,
poorHealth,Total,2005-2011,0.428,,Owsley,21,21189,KY,Kentucky,,
obesity,Total,2005-2011,0.427,,Mississippi - Sunflower,28,28133,MS,Mississippi,,
obesity,Total,2005-2011,0.427,,Mississippi - Wilkinson,28,28157,MS,Mississippi,,
obesity,Total,2005-2011,0.427,,West Virginia - Clay,54,54015,WV,West Virginia,,
noExercise,Total,2005-2011,0.426,,Mingo,54,54059,WV,West Virginia,,
obesity,Total,2005-2011,0.424,,Alabama - Dallas,1,1047,AL,Alabama,,
obesity,Total,2005-2011,0.424,,Tennessee - Giles,47,47055,TN,Tennessee,,
obesity,Total,2005-2011,0.422,,Mississippi - Copiah,28,28029,MS,Mississippi,,
noExercise,Total,2005-2011,0.421,,Phillips,5,5107,AR,Arkansas,,
noExercise,Total,2005-2011,0.421,,Lincoln,40,40081,OK,Oklahoma,,
obesity,Total,2005-2011,0.421,,Mississippi - Warren,28,28149,MS,Mississippi,,
smoking,Total,2005-2011,0.42,,Yukon-Koyukuk,2,2290,AK,Alaska,,
obesity,Total,2005-2011,0.42,,Louisiana - Morehouse,22,22067,LA,Louisiana,,
obesity,Total,2005-2011,0.42,,Michigan - Iosco,26,26069,MI,Michigan,,
obesity,Total,2005-2011,0.419,,Mississippi - Attala,28,28007,MS,Mississippi,,
obesity,Total,2005-2011,0.419,,South Carolina - Hampton,45,45049,SC,South Carolina,,
obesity,Total,2005-2011,0.418,,Alabama - Marengo,1,1091,AL,Alabama,,
obesity,Total,2005-2011,0.418,,North Carolina - Yadkin,37,37197,NC,North Carolina,,
noExercise,Total,2005-2011,0.417,,Harlan,21,21095,KY,Kentucky,,
noExercise,Total,2005-2011,0.417,,Hickman,47,47081,TN,Tennessee,,
obesity,Total,2005-2011,0.417,,South Carolina - Bamberg,45,45009,SC,South Carolina,,
noExercise,Total,2005-2011,0.414,,Jackson,21,21109,KY,Kentucky,,
noExercise,Total,2005-2011,0.414,,Leslie,21,21131,KY,Kentucky,,
noExercise,Total,2005-2011,0.414,,Avoyelles,22,22009,LA,Louisiana,,
obesity,Total,2005-2011,0.414,,Oklahoma - Craig,40,40035,OK,Oklahoma,,
poorHealth,Total,2005-2011,0.413,,McCreary,21,21147,KY,Kentucky,,
noExercise,Total,2005-2011,0.413,,Morehouse,22,22067,LA,Louisiana,,
noExercise,Total,2005-2011,0.412,,Mississippi,5,5093,AR,Arkansas,,
noExercise,Total,2005-2011,0.411,,Wilkinson,28,28157,MS,Mississippi,,
obesity,Total,2005-2011,0.411,,Nebraska - Sherman,31,31163,NE,Nebraska,,
